ecutwfc_Ry,ecutrho_Ry,total_energy_Ry,delta_meV_per_atom_vs_max,pressure_kbar
50,400,-2269.28751548,6.844576356250858,-0.08
60,480,-2269.29501987,2.5903085472123624,2.37
70,560,-2269.29602086,2.022843432136724,1.94
80,640,-2269.29858035,0.5718586200871757,2.05
90,720,-2269.29940492,0.1044066876090171,2.36
100,800,-2269.29958909,0.0,2.32
