mesh,full_kpoints,irreducible_kpoints,total_energy_Ry,delta_meV_per_atom_vs_max
2x2x1,4,2,-2269.29486951,3.4062703088856776
3x3x2,18,6,-2269.29896436,1.0848839553560998
4x4x2,32,8,-2269.3004315,0.2531565967086885
5x5x3,75,12,-2269.30087806,0.0
