temperature_K,kappa_xx_W_m-1_K-1,kappa_yy_W_m-1_K-1,kappa_zz_W_m-1_K-1,kappa_yz_W_m-1_K-1,kappa_xz_W_m-1_K-1,kappa_xy_W_m-1_K-1,trace_over_3_W_m-1_K-1,status
300,2.369892802526801,0.7752498802192892,0.668029601073247,0.0,0.0,-1.3950211873331194e-18,1.2710574279397793,rejected_frequency_integrity_failure
600,1.1710577987230875,0.3815220367755166,0.32969058385939637,0.0,0.0,-6.758031663706996e-19,0.6274234731193334,rejected_frequency_integrity_failure
900,0.7790028505615774,0.2535989372020321,0.21927830410948096,0.0,0.0,-4.478584735765789e-19,0.4172933639576968,rejected_frequency_integrity_failure
