length_angstrom,mesh,temperature_K,component,kappa_W_mK,previous_length_angstrom,previous_kappa_W_mK,relative_change_abs_over_abs_current,denominator_abs_current_W_mK,relative_change_note
75.0,1x2x420,900.0,xx,0.04859754297405807,60.0,0.04773475039664972,0.017753831255808962,0.04859754297405807,
75.0,1x2x420,900.0,yy,0.04830597361396567,60.0,0.04867239188975634,0.007585361568713599,0.04830597361396567,
75.0,1x2x420,900.0,zz,0.040511428092439315,60.0,0.03316385022891971,0.18137049740023578,0.040511428092439315,
75.0,1x2x420,900.0,yz,-5.513542215265364e-18,60.0,-4.525574061664416e-18,,5.513542215265364e-18,not evaluated: off-diagonal value is numerical near-zero
75.0,1x2x420,900.0,xz,1.1077992483608247e-17,60.0,9.148278862260799e-18,,1.1077992483608247e-17,not evaluated: off-diagonal value is numerical near-zero
75.0,1x2x420,900.0,xy,-4.469672765020531e-18,60.0,-4.6297926053839226e-18,,4.469672765020531e-18,not evaluated: off-diagonal value is numerical near-zero
75.0,1x2x420,900.0,trace_over_3,0.045804981560154355,60.0,0.043190330838441926,0.057082235002729645,0.045804981560154355,
90.0,2x8x96,300.0,xx,0.14292621493767332,75.0,0.14232428945456294,0.004211442130282911,0.14292621493767332,
90.0,2x8x96,300.0,yy,0.13891210006904556,75.0,0.13727922653678928,0.01175472497676345,0.13891210006904556,
90.0,2x8x96,300.0,zz,0.1224715416150916,75.0,0.1135468509302332,0.07287154686847394,0.1224715416150916,
90.0,2x8x96,300.0,yz,-1.6840272195292938e-17,75.0,-1.543666579711412e-17,,1.6840272195292938e-17,not evaluated: off-diagonal value is numerical near-zero
90.0,2x8x96,300.0,xz,3.3286212956618865e-17,75.0,3.1015519377639056e-17,,3.3286212956618865e-17,not evaluated: off-diagonal value is numerical near-zero
90.0,2x8x96,300.0,xy,-1.3047265310209703e-17,75.0,-1.2587342321959612e-17,,1.3047265310209703e-17,not evaluated: off-diagonal value is numerical near-zero
90.0,2x8x96,300.0,trace_over_3,0.13476995220727014,75.0,0.13105012230719515,0.027601329815373554,0.13476995220727014,
90.0,2x8x96,600.0,xx,0.07289526168442295,75.0,0.07259480338799039,0.004121780887944431,0.07289526168442295,
90.0,2x8x96,600.0,yy,0.07265893072758962,75.0,0.07180151528433036,0.011800551352370648,0.07265893072758962,
90.0,2x8x96,600.0,zz,0.06450249745215582,75.0,0.060077827577092124,0.0685968768627239,0.06450249745215582,
90.0,2x8x96,600.0,yz,-8.876408821255625e-18,75.0,-8.175074276213696e-18,,8.876408821255625e-18,not evaluated: off-diagonal value is numerical near-zero
90.0,2x8x96,600.0,xz,1.7556477451506364e-17,75.0,1.6425549027298983e-17,,1.7556477451506364e-17,not evaluated: off-diagonal value is numerical near-zero
