mesh,full_kpoints,irreducible_kpoints,total_energy_Ry,delta_meV_per_atom_vs_max
4x2x1,8,6,-969.03587618,2.8850804239420187
6x3x2,36,16,-969.03969634,0.2862841918833798
8x4x2,64,30,-969.04006379,0.0363135949819714
10x5x3,150,36,-969.04011717,0.0
