temperature_K,carrier_type,carrier_density_cm-3,signed_density_cm-3,chemical_potential_Ry,seebeck_uV_K,sigma_over_tau_ohm-1_m-1_s-1,kappa_e_over_tau_W_m-1_K-1_s-1,power_factor_over_tau_W_m-1_K-2_s-1,electronic_zT_no_lattice,hall_m3_C,smoothed_DOS_Ha-1_uc-1,cv_J_mol-1_K-1,chi_m3_mol-1
500,n,4.999021422181959e+19,-4.999021422181959e+19,0.624034,-188.946,2.14641e+18,20543200000000.0,76628105348.01157,1.8650479318706814,-1.26745e-07,5.05657,0.157643,1.62532e-13
600,n,4.999624269036727e+19,-4.999624269036727e+19,0.622967,-209.834,2.08425e+18,23356400000000.0,91770168523.59299,2.35747380221934,-1.27988e-07,4.58841,0.202878,1.47485e-13
700,n,4.9969545186798985e+19,-4.9969545186798985e+19,0.621731,-227.604,2.01933e+18,25727300000000.0,104608524849.1733,2.846235998119558,-1.29575e-07,4.17525,0.250214,1.34204e-13
800,n,4.996222490356252e+19,-4.996222490356252e+19,0.620351,-242.567,1.95566e+18,28032700000000.0,115068588825.65775,3.283838911718322,-1.31308e-07,3.81812,0.299196,1.22725e-13
900,n,5.003435122368651e+19,-5.003435122368651e+19,0.618853,-254.57000000000002,1.89801e+18,31275200000000.0,123002217599.04903,3.5396095257310627,-1.32776e-07,3.51775,0.351325,1.1307e-13
300,n,2.0007066113582535e+19,-2.0007066113582535e+19,0.62269,-203.453,9.20686e+17,5165470000000.0,38110069034.80138,2.2133553598105133,-3.1018e-07,3.437,0.0594029,1.10475e-13
400,n,1.9990358643607544e+19,-1.9990358643607544e+19,0.621591,-235.86200000000002,8.9784e+17,6679800000000.0,49947632032.22497,2.99096571946615,-3.12963e-07,2.88104,0.0874039,9.26048e-14
500,n,1.9947190502757216e+19,-1.9947190502757216e+19,0.620246,-262.415,8.71925e+17,8045050000000.0,60042178677.78312,3.7316224683366244,-3.16316e-07,2.46007,0.117655,7.90737e-14
600,n,1.999320063592288e+19,-1.999320063592288e+19,0.618709,-284.22799999999995,8.48323e+17,9290540000000.0,68532245209.01482,4.425937257189452,-3.18715e-07,2.14512,0.148718,6.89503e-14
700,n,1.9990509355321238e+19,-1.9990509355321238e+19,0.61698,-302.486,8.22202e+17,10544100000000.0,75229657872.71158,4.994334320700496,-3.22187e-07,1.89466,0.179764,6.08997e-14
800,n,2.0002587822661403e+19,-2.0002587822661403e+19,0.615102,-316.295,7.98512e+17,12683300000000.0,79885158339.7868,5.0387617317125235,-3.24437e-07,1.69968,0.212224,5.46326e-14
900,n,1.998902376842913e+19,-1.998902376842913e+19,0.613104,-322.94300000000004,7.80838e+17,17972200000000.0,81435298222.10667,4.078063253240894,-3.22182e-07,1.55391,0.249885,4.99471e-14
300,n,1.0010982521496613e+19,-1.0010982521496613e+19,0.620966,-259.592,4.6092e+17,2527580000000.0,31060479939.386883,3.686587163142636,-6.21523e-07,2.00669,0.0498913,6.45008e-14
400,n,1.0004200494380474e+19,-1.0004200494380474e+19,0.619489,-293.068,4.51093e+17,3293730000000.0,38743860196.71803,4.705165292445711,-6.25379e-07,1.60963,0.0706855,5.17381e-14
500,n,1.0004609569031924e+19,-1.0004609569031924e+19,0.617759,-319.98699999999997,4.3955e+17,4003290000000.0,45006263018.28394,5.621159473618442,-6.3014e-07,1.33794,0.091635,4.30051e-14
600,n,9.993284660260215e+18,-9.993284660260215e+18,0.615807,-342.28200000000004,4.26455e+17,4682060000000.0,49962174585.447426,6.402588764618236,-6.36609e-07,1.14104,0.11215,3.66763e-14
700,n,1.000064800398631e+19,-1.000064800398631e+19,0.613678,-359.36600000000004,4.14493e+17,5765370000000.0,53529251643.30831,6.499231818654453,-6.40416e-07,0.997146,0.133015,3.20511e-14
800,n,9.99619124330999e+18,-9.99619124330999e+18,0.611409,-367.077,4.06135e+17,8921630000000.0,54724873360.90442,4.9071636784672235,-6.32967e-07,0.894828,0.157188,2.87623e-14
900,n,9.999829854683408e+18,-9.999829854683408e+18,0.609119,-354.56399999999996,4.11604e+17,18175900000000.0,51745056210.03397,2.562214283145846,-5.87724e-07,0.845101,0.191827,2.71639e-14
300,p,9.99123928700297e+18,9.99123928700297e+18,0.576782,252.89000000000001,4.44847e+17,2547590000000.0,28449456821.628708,3.35016115092641,6.14512e-07,2.01593,0.0568079,6.47976e-14
400,p,9.988268113218757e+18,9.988268113218757e+18,0.578361,290.981,4.18297e+17,3220740000000.0,35417182879.77921,4.398639179788399,6.21818e-07,1.62667,0.0842863,5.22858e-14
