ecutwfc_Ry,ecutrho_Ry,total_energy_Ry,delta_meV_per_atom_vs_max,pressure_kbar
50,400,-1568.22989416,6.021849541397412,0.72
60,480,-1568.23485266,2.2738590219857864,2.71
70,560,-1568.23549268,1.7900859266769855,2.49
80,640,-1568.23718782,0.5087773356805627,2.48
90,720,-1568.23774242,0.08957081313433031,2.71
100,800,-1568.23786092,0.0,2.57
