               JobID      State ExitCode    Elapsed                 NodeList 
-------------------- ---------- -------- ---------- ------------------------ 
         20260344_25     FAILED      1:0   00:00:30                     c108 
   20260344_25.batch     FAILED      1:0   00:00:30                     c108 
  20260344_25.extern  COMPLETED      0:0   00:00:30                     c108 
       20260344_25.0 CANCELLED+      0:9   00:00:12                     c108 
       20260344_25.1 CANCELLED+      0:9   00:00:12                     c108 
         20260344_30     FAILED      1:0   00:00:32                     c108 
   20260344_30.batch     FAILED      1:0   00:00:32                     c108 
  20260344_30.extern  COMPLETED      0:0   00:00:32                     c108 
       20260344_30.0 CANCELLED+      0:9   00:00:12                     c108 
       20260344_30.1 CANCELLED+      0:9   00:00:14                     c108 
         20260344_41     FAILED      1:0   00:00:32                     c108 
   20260344_41.batch     FAILED      1:0   00:00:32                     c108 
  20260344_41.extern  COMPLETED      0:0   00:00:32                     c108 
       20260344_41.0 CANCELLED+      0:9   00:00:12                     c108 
       20260344_41.1 CANCELLED+      0:9   00:00:14                     c108 
         20260344_43     FAILED      1:0   00:00:25                     c114 
   20260344_43.batch     FAILED      1:0   00:00:25                     c114 
  20260344_43.extern  COMPLETED      0:0   00:00:25                     c114 
       20260344_43.0 CANCELLED+      0:9   00:00:12                     c114 
       20260344_43.1 CANCELLED+      0:9   00:00:07                     c114 
         20260344_48     FAILED      1:0   00:00:28                     c114 
   20260344_48.batch     FAILED      1:0   00:00:28                     c114 
  20260344_48.extern  COMPLETED      0:0   00:00:30                     c114 
       20260344_48.0 CANCELLED+      0:9   00:00:12                     c114 
       20260344_48.1 CANCELLED+      0:9   00:00:07                     c114 
         20260344_57     FAILED      1:0   00:00:20                     c136 
   20260344_57.batch     FAILED      1:0   00:00:20                     c136 
  20260344_57.extern  COMPLETED      0:0   00:00:20                     c136 
       20260344_57.0 CANCELLED+      0:9   00:00:07                     c136 
       20260344_57.1 CANCELLED+      0:9   00:00:07                     c136 
         20260344_62     FAILED      1:0   00:00:20                     c144 
   20260344_62.batch     FAILED      1:0   00:00:20                     c144 
  20260344_62.extern  COMPLETED      0:0   00:00:20                     c144 
       20260344_62.0 CANCELLED+      0:9   00:00:07                     c144 
       20260344_62.1 CANCELLED+      0:9   00:00:07                     c144 
         20260344_71     FAILED      1:0   00:00:25                     c150 
   20260344_71.batch     FAILED      1:0   00:00:25                     c150 
  20260344_71.extern  COMPLETED      0:0   00:00:25                     c150 
       20260344_71.0 CANCELLED+      0:9   00:00:10                     c150 
       20260344_71.1 CANCELLED+      0:9   00:00:10                     c150 
         20260344_76     FAILED      1:0   00:00:25                     c150 
   20260344_76.batch     FAILED      1:0   00:00:25                     c150 
  20260344_76.extern  COMPLETED      0:0   00:00:25                     c150 
       20260344_76.0 CANCELLED+      0:9   00:00:10                     c150 
       20260344_76.1     FAILED      1:0   00:00:10                     c150 
         20260344_79     FAILED      1:0   00:00:20                     c549 
   20260344_79.batch     FAILED      1:0   00:00:20                     c549 
  20260344_79.extern  COMPLETED      0:0   00:00:20                     c549 
       20260344_79.0 CANCELLED+      0:9   00:00:07                     c549 
       20260344_79.1 CANCELLED+      0:9   00:00:07                     c549 
20260344_[84,95,97,+    PENDING      0:0   00:00:00            None assigned 
