               JobID      State ExitCode    Elapsed                 NodeList 
  20213856_25.extern  COMPLETED      0:0   00:00:20                     c108 
       20213856_25.0 CANCELLED+      0:9   00:00:07                     c108 
       20213856_25.1 CANCELLED+      0:9   00:00:08                     c108 
         20213856_26  COMPLETED      0:0   00:36:29                     c137 
   20213856_26.batch  COMPLETED      0:0   00:36:29                     c137 
  20213856_26.extern  COMPLETED      0:0   00:36:29                     c137 
       20213856_26.0  COMPLETED      0:0   00:36:24                     c137 
         20213856_27  COMPLETED      0:0   00:36:20                     c151 
   20213856_27.batch  COMPLETED      0:0   00:36:20                     c151 
  20213856_27.extern  COMPLETED      0:0   00:36:20                     c151 
       20213856_27.0  COMPLETED      0:0   00:36:15                     c151 
         20213856_28  COMPLETED      0:0   00:33:08                     c159 
   20213856_28.batch  COMPLETED      0:0   00:33:08                     c159 
  20213856_28.extern  COMPLETED      0:0   00:33:08                     c159 
       20213856_28.0  COMPLETED      0:0   00:33:03                     c159 
         20213856_29  COMPLETED      0:0   00:41:54                     c161 
   20213856_29.batch  COMPLETED      0:0   00:41:54                     c161 
  20213856_29.extern  COMPLETED      0:0   00:41:54                     c161 
       20213856_29.0  COMPLETED      0:0   00:41:49                     c161 
         20213856_30     FAILED      1:0   00:00:20                      c67 
   20213856_30.batch     FAILED      1:0   00:00:20                      c67 
  20213856_30.extern  COMPLETED      0:0   00:00:20                      c67 
       20213856_30.0 CANCELLED+      0:9   00:00:07                      c67 
       20213856_30.1 CANCELLED+      0:9   00:00:07                      c67 
         20213856_31  COMPLETED      0:0   00:41:43                     c568 
   20213856_31.batch  COMPLETED      0:0   00:41:43                     c568 
  20213856_31.extern  COMPLETED      0:0   00:41:43                     c568 
       20213856_31.0  COMPLETED      0:0   00:41:38                     c568 
         20213856_32  COMPLETED      0:0   00:43:52                     c568 
   20213856_32.batch  COMPLETED      0:0   00:43:52                     c568 
  20213856_32.extern  COMPLETED      0:0   00:43:52                     c568 
       20213856_32.0  COMPLETED      0:0   00:43:47                     c568 
         20213856_33  COMPLETED      0:0   00:39:46                     c568 
   20213856_33.batch  COMPLETED      0:0   00:39:46                     c568 
  20213856_33.extern  COMPLETED      0:0   00:39:46                     c568 
       20213856_33.0  COMPLETED      0:0   00:39:41                     c568 
         20213856_34  COMPLETED      0:0   00:40:26                     c568 
   20213856_34.batch  COMPLETED      0:0   00:40:26                     c568 
  20213856_34.extern  COMPLETED      0:0   00:40:26                     c568 
       20213856_34.0  COMPLETED      0:0   00:40:21                     c568 
         20213856_35  COMPLETED      0:0   00:34:37                     c174 
   20213856_35.batch  COMPLETED      0:0   00:34:37                     c174 
  20213856_35.extern  COMPLETED      0:0   00:34:37                     c174 
       20213856_35.0  COMPLETED      0:0   00:34:32                     c174 
         20213856_36  COMPLETED      0:0   00:39:03                     c176 
   20213856_36.batch  COMPLETED      0:0   00:39:03                     c176 
  20213856_36.extern  COMPLETED      0:0   00:39:03                     c176 
       20213856_36.0  COMPLETED      0:0   00:38:58                     c176 
         20213856_37  COMPLETED      0:0   00:33:28                     c202 
   20213856_37.batch  COMPLETED      0:0   00:33:28                     c202 
  20213856_37.extern  COMPLETED      0:0   00:33:28                     c202 
       20213856_37.0  COMPLETED      0:0   00:33:23                     c202 
         20213856_38  COMPLETED      0:0   00:34:36                      c67 
   20213856_38.batch  COMPLETED      0:0   00:34:36                      c67 
  20213856_38.extern  COMPLETED      0:0   00:34:36                      c67 
       20213856_38.0  COMPLETED      0:0   00:34:32                      c67 
         20213856_39  COMPLETED      0:0   00:36:24                      c76 
   20213856_39.batch  COMPLETED      0:0   00:36:24                      c76 
  20213856_39.extern  COMPLETED      0:0   00:36:24                      c76 
       20213856_39.0  COMPLETED      0:0   00:36:20                      c76 
         20213856_40  COMPLETED      0:0   00:36:18                     c194 
   20213856_40.batch  COMPLETED      0:0   00:36:18                     c194 
  20213856_40.extern  COMPLETED      0:0   00:36:18                     c194 
       20213856_40.0  COMPLETED      0:0   00:36:14                     c194 
         20213856_41     FAILED      1:0   00:00:24                     c216 
   20213856_41.batch     FAILED      1:0   00:00:24                     c216 
  20213856_41.extern  COMPLETED      0:0   00:00:24                     c216 
       20213856_41.0 CANCELLED+      0:9   00:00:08                     c216 
       20213856_41.1 CANCELLED+      0:9   00:00:10                     c216 
         20213856_42  COMPLETED      0:0   00:32:53                     c217 
   20213856_42.batch  COMPLETED      0:0   00:32:53                     c217 
  20213856_42.extern  COMPLETED      0:0   00:32:53                     c217 
       20213856_42.0  COMPLETED      0:0   00:32:49                     c217 
         20213856_43     FAILED      1:0   00:00:22                     c226 
   20213856_43.batch     FAILED      1:0   00:00:22                     c226 
  20213856_43.extern  COMPLETED      0:0   00:00:22                     c226 
       20213856_43.0 CANCELLED+      0:9   00:00:10                     c226 
       20213856_43.1 CANCELLED+      0:9   00:00:08                     c226 
         20213856_44  COMPLETED      0:0   00:38:04                     c238 
   20213856_44.batch  COMPLETED      0:0   00:38:04                     c238 
  20213856_44.extern  COMPLETED      0:0   00:38:04                     c238 
       20213856_44.0  COMPLETED      0:0   00:38:00                     c238 
         20213856_45  COMPLETED      0:0   00:36:13                     c566 
   20213856_45.batch  COMPLETED      0:0   00:36:13                     c566 
  20213856_45.extern  COMPLETED      0:0   00:36:13                     c566 
       20213856_45.0  COMPLETED      0:0   00:36:11                     c566 
         20213856_46  COMPLETED      0:0   00:35:56                     c580 
   20213856_46.batch  COMPLETED      0:0   00:35:56                     c580 
  20213856_46.extern  COMPLETED      0:0   00:35:56                     c580 
       20213856_46.0  COMPLETED      0:0   00:35:52                     c580 
         20213856_47  COMPLETED      0:0   00:40:11                     c581 
   20213856_47.batch  COMPLETED      0:0   00:40:11                     c581 
  20213856_47.extern  COMPLETED      0:0   00:40:11                     c581 
       20213856_47.0  COMPLETED      0:0   00:40:07                     c581 
         20213856_48     FAILED      1:0   00:00:19                     c161 
   20213856_48.batch     FAILED      1:0   00:00:19                     c161 
  20213856_48.extern  COMPLETED      0:0   00:00:19                     c161 
       20213856_48.0 CANCELLED+      0:9   00:00:08                     c161 
       20213856_48.1 CANCELLED+      0:9   00:00:07                     c161 
         20213856_49  COMPLETED      0:0   00:38:53                     c176 
   20213856_49.batch  COMPLETED      0:0   00:38:53                     c176 
  20213856_49.extern  COMPLETED      0:0   00:38:53                     c176 
       20213856_49.0  COMPLETED      0:0   00:38:48                     c176 
         20213856_50  COMPLETED      0:0   00:39:34                     c176 
   20213856_50.batch  COMPLETED      0:0   00:39:34                     c176 
  20213856_50.extern  COMPLETED      0:0   00:39:34                     c176 
