E_minus_EF_eV,QE_dosx_DOS_states_eV-1_cell-1,BoltzTraP2_DOS_states_eV-1_cell-1,BoltzTraP2_DOS_broadened_states_eV-1_cell-1
-5.420000000000012363e+00,1.341798968611328746e+01,1.462817808913144191e+01,1.189896930380913354e+01
-5.400000000000012790e+00,1.256018581632622677e+01,1.105493864846840424e+01,1.131468487669548750e+01
-5.380000000000013216e+00,1.163149420363768272e+01,9.636115592175997335e+00,1.068620560179741119e+01
-5.360000000000013642e+00,1.072626065439194498e+01,7.817173345908258852e+00,1.011504016849560372e+01
-5.340000000000014069e+00,9.951873039374268259e+00,6.736953418681670414e+00,9.691476244045905020e+00
-5.320000000000014495e+00,9.440541680789630519e+00,8.783272463775920968e+00,9.480115620593775105e+00
-5.300000000000014921e+00,9.327752514529761285e+00,1.030445577415179592e+01,9.507767733877379612e+00
-5.280000000000015348e+00,9.684916638420725477e+00,5.343719370656710765e+00,9.755825490785309029e+00
-5.260000000000015774e+00,1.046154321539502519e+01,6.036185034706913477e+00,1.015965001764324604e+01
-5.240000000000016200e+00,1.145327224711639325e+01,8.883151529441203564e+00,1.061739390740088673e+01
-5.220000000000016627e+00,1.235158966947659920e+01,1.980063367360106241e+01,1.101149776117759238e+01
-5.200000000000017053e+00,1.287429935226267652e+01,1.423689240204581807e+01,1.123773238889183546e+01
-5.180000000000017479e+00,1.286658839063883519e+01,1.070168048500716473e+01,1.123500881715984434e+01
-5.160000000000017906e+00,1.233233549245780125e+01,1.545433198913222839e+01,1.100481304124282644e+01
-5.140000000000018332e+00,1.140196130212947700e+01,1.125428204488887474e+01,1.061256150948249655e+01
-5.120000000000018758e+00,1.028631639929009900e+01,1.099172439196198070e+01,1.016927405383392014e+01
-5.100000000000019185e+00,9.269826073757762686e+00,4.966675427265064613e+00,9.799139362992942637e+00
-5.080000000000019611e+00,8.660013680456971841e+00,5.483078628383053044e+00,9.602144575794842041e+00
-5.060000000000020037e+00,8.685131350266182437e+00,6.697462368864232296e+00,9.625492464982002616e+00
-5.040000000000020464e+00,9.361449795696495713e+00,8.743061438578491718e+00,9.852652857570841860e+00
-5.020000000000020890e+00,1.045471172892624701e+01,9.290535505811744699e+00,1.021596518414198407e+01
-5.000000000000021316e+00,1.156588902173901978e+01,1.139693399366906590e+01,1.062770595001891927e+01
-4.980000000000021743e+00,1.232859870452523410e+01,1.961290221113389975e+01,1.101899889467748750e+01
-4.960000000000022169e+00,1.257392516193434595e+01,9.975541554317294057e+00,1.137011874641708964e+01
-4.940000000000022595e+00,1.239658839063891627e+01,1.169388287113299540e+01,1.171939550708969513e+01
-4.920000000000023022e+00,1.212308387311449920e+01,1.046385803577461893e+01,1.214408132493455739e+01
-4.900000000000023448e+00,1.211864515860687064e+01,1.014594052061436358e+01,1.272043752078730527e+01
-4.880000000000023874e+00,1.262504773291908400e+01,7.341968239210651781e+00,1.347874959755475466e+01
-4.860000000000024301e+00,1.366060901841142616e+01,1.108857703772127401e+01,1.437602164487766032e+01
-4.840000000000024727e+00,1.500710450088693371e+01,1.203834999120376636e+01,1.530038672391501287e+01
-4.820000000000025153e+00,1.628369289152585964e+01,2.507990817163264197e+01,1.611060569366015827e+01
-4.800000000000025580e+00,1.707383225377095570e+01,2.636189354365984627e+01,1.669473184511435804e+01
-4.780000000000026006e+00,1.716528000332751347e+01,2.479751137027776764e+01,1.701912317107069228e+01
-4.760000000000026432e+00,1.669013936224514083e+01,1.222039944506254727e+01,1.714356462188657559e+01
-4.740000000000026859e+00,1.605663484472070834e+01,1.259627726246935531e+01,1.719300220990951544e+01
-4.720000000000027285e+00,1.571392516193436251e+01,1.292561563076018594e+01,1.729951310074772408e+01
-4.700000000000027711e+00,1.590163612355791578e+01,1.436848347114216118e+01,1.754189155961811863e+01
-4.680000000000028137e+00,1.656808515195169917e+01,1.412376331838930277e+01,1.791026128134643614e+01
-4.660000000000028564e+00,1.744243095829595092e+01,2.087355912958169313e+01,1.830851273028689263e+01
-4.640000000000028990e+00,1.820074838065632861e+01,2.611704855955024485e+01,1.858977452966937705e+01
-4.620000000000029416e+00,1.858345806344271978e+01,2.229838016363241948e+01,1.860935458424144784e+01
-4.600000000000029843e+00,1.841836387644215378e+01,1.486604095189414743e+01,1.827698504232933985e+01
-4.580000000000030269e+00,1.765630710847442941e+01,2.672647542474999938e+01,1.759283905951540206e+01
-4.560000000000030695e+00,1.640551227373639520e+01,2.350171574210581582e+01,1.665984736335527217e+01
-4.540000000000031122e+00,1.494116646739215248e+01,1.288317159203378637e+01,1.566912920452297975e+01
-4.520000000000031548e+00,1.365369033385158382e+01,7.554933364491315473e+00,1.486043797906637565e+01
-4.500000000000031974e+00,1.293397161601615863e+01,7.616841972113581605e+00,1.446680109194823238e+01
