T (K),kappa_xx (W m^-1 K^-1),kappa_yy (W m^-1 K^-1),kappa_zz (W m^-1 K^-1),kappa_avg (W m^-1 K^-1)
300,0.3960,0.3960,0.2999,0.3639
400,0.2970,0.2970,0.2248,0.2729
500,0.2376,0.2376,0.1798,0.2183
600,0.1981,0.1981,0.1498,0.1820
700,0.1698,0.1698,0.1284,0.1560
800,0.1486,0.1486,0.1124,0.1365
900,0.1321,0.1321,0.0999,0.1213
